,source,title,cve_id,cwe_id,href,package,score,severity,date_published,version,refs,commit,commits,repo,sha_list,dates,ext_files,n_files,parents,messages,lang,n_lang
35,cvedetails,XSS,CVE-2019-17496,CWE-79,https://www.cvedetails.com/cve/CVE-2019-17496/,,4.3,,10/10/19,,[],['https://github.com/craftcms/cms/commit/0ee66d29281af2b6c4f866e1437842c61983a672'],1,craftcms/cms,['0ee66d29281af2b6c4f866e1437842c61983a672'],"['10/08/2019, 19:13:59']","{'map', 'js', 'md'}",3,[['476cb4afd8bd87addc650d149ba71af64ddbff2a']],['Fixed an XSS vulnerability'],"{'js', 'map', 'md'}",3
37,cvedetails,XSS,CVE-2019-14550,CWE-79,https://www.cvedetails.com/cve/CVE-2019-14550/,,3.5,,8/5/19,,['https://gauravnarwani.com/publications/cve-2019-14550/'],['https://github.com/espocrm/espocrm/commit/ffd3f762ce4a8de3b8962f33513e073c55d943b5'],1,espocrm/espocrm,['ffd3f762ce4a8de3b8962f33513e073c55d943b5'],"['07/30/2019, 07:57:44']","{'tpl', 'js'}",2,[['24628a848721e52d0f5452ecd5bd91716064f773']],['xss fixes'],"{'js', 'tpl'}",2
38,cvedetails,XSS,CVE-2019-14549,CWE-79,https://www.cvedetails.com/cve/CVE-2019-14549/,,3.5,,8/5/19,,['https://gauravnarwani.com/publications/cve-2019-14549/'],['https://github.com/espocrm/espocrm/commit/ffd3f762ce4a8de3b8962f33513e073c55d943b5'],1,espocrm/espocrm,['ffd3f762ce4a8de3b8962f33513e073c55d943b5'],"['07/30/2019, 07:57:44']","{'tpl', 'js'}",2,[['24628a848721e52d0f5452ecd5bd91716064f773']],['xss fixes'],"{'js', 'tpl'}",2
39,cvedetails,XSS,CVE-2019-14548,CWE-79,https://www.cvedetails.com/cve/CVE-2019-14548/,,3.5,,8/5/19,,['https://gauravnarwani.com/publications/cve-2019-14548/'],['https://github.com/espocrm/espocrm/commit/ffd3f762ce4a8de3b8962f33513e073c55d943b5'],1,espocrm/espocrm,['ffd3f762ce4a8de3b8962f33513e073c55d943b5'],"['07/30/2019, 07:57:44']","{'tpl', 'js'}",2,[['24628a848721e52d0f5452ecd5bd91716064f773']],['xss fixes'],"{'js', 'tpl'}",2
40,cvedetails,XSS,CVE-2019-14547,CWE-79,https://www.cvedetails.com/cve/CVE-2019-14547/,,3.5,,8/5/19,,['https://gauravnarwani.com/publications/cve-2019-14547/'],['https://github.com/espocrm/espocrm/commit/ffd3f762ce4a8de3b8962f33513e073c55d943b5'],1,espocrm/espocrm,['ffd3f762ce4a8de3b8962f33513e073c55d943b5'],"['07/30/2019, 07:57:44']","{'tpl', 'js'}",2,[['24628a848721e52d0f5452ecd5bd91716064f773']],['xss fixes'],"{'js', 'tpl'}",2
41,cvedetails,XSS,CVE-2019-14546,CWE-79,https://www.cvedetails.com/cve/CVE-2019-14546/,,3.5,,8/5/19,,['https://gauravnarwani.com/publications/CVE-2019-14546/'],['https://github.com/espocrm/espocrm/commit/ffd3f762ce4a8de3b8962f33513e073c55d943b5'],1,espocrm/espocrm,['ffd3f762ce4a8de3b8962f33513e073c55d943b5'],"['07/30/2019, 07:57:44']","{'tpl', 'js'}",2,[['24628a848721e52d0f5452ecd5bd91716064f773']],['xss fixes'],"{'js', 'tpl'}",2
42,cvedetails,XSS,CVE-2019-14331,CWE-79,https://www.cvedetails.com/cve/CVE-2019-14331/,,4.3,,7/28/19,,['http://www.cinquino.eu/EspoCRM.htm'],['https://github.com/espocrm/espocrm/commit/4ab7d19776011288b875abd3eef1e1f6f75289e2'],1,espocrm/espocrm,['4ab7d19776011288b875abd3eef1e1f6f75289e2'],"['07/23/2019, 14:50:02']",{'js'},1,[['34e33bd13a255a0a69d3c374f989828d691d42b4']],['xss fixes'],{'js'},1
43,cvedetails,XSS,CVE-2019-14330,CWE-79,https://www.cvedetails.com/cve/CVE-2019-14330/,,4.3,,7/28/19,,['http://www.cinquino.eu/EspoCRM.htm'],['https://github.com/espocrm/espocrm/commit/4ab7d19776011288b875abd3eef1e1f6f75289e2'],1,espocrm/espocrm,['4ab7d19776011288b875abd3eef1e1f6f75289e2'],"['07/23/2019, 14:50:02']",{'js'},1,[['34e33bd13a255a0a69d3c374f989828d691d42b4']],['xss fixes'],{'js'},1
44,cvedetails,XSS,CVE-2019-14329,CWE-79,https://www.cvedetails.com/cve/CVE-2019-14329/,,4.3,,7/28/19,,['http://www.cinquino.eu/EspoCRM.htm'],['https://github.com/espocrm/espocrm/commit/4ab7d19776011288b875abd3eef1e1f6f75289e2'],1,espocrm/espocrm,['4ab7d19776011288b875abd3eef1e1f6f75289e2'],"['07/23/2019, 14:50:02']",{'js'},1,[['34e33bd13a255a0a69d3c374f989828d691d42b4']],['xss fixes'],{'js'},1
45,cvedetails,XSS,CVE-2019-14286,CWE-79,https://www.cvedetails.com/cve/CVE-2019-14286/,,4.3,,7/27/19,,[],['https://github.com/MISP/MISP/commit/26bedd8a68c32a2f14460a8eac2a9fb09923392b'],1,MISP/MISP,['26bedd8a68c32a2f14460a8eac2a9fb09923392b'],"['07/27/2019, 08:40:19']",{'js'},1,[['c951228ebcf4af50769fd3fca9ded3eaaa6574df']],['fix: [security] Fix to stored XSS\n\n- as reported by David Heise'],{'js'},1
46,cvedetails,Exec Code XSS,CVE-2019-13970,CWE-79,https://www.cvedetails.com/cve/CVE-2019-13970/,,4.3,,7/19/19,,[],['https://github.com/AntSwordProject/antSword/commit/4b932e81447b4b0475f4fce45525547395c249d3'],1,AntSwordProject/antSword,['4b932e81447b4b0475f4fce45525547395c249d3'],"['04/18/2019, 13:36:30']","{'js', 'md'}",2,[['e5230965f70908f4864afbcd1bc5765b429456f7']],['(Fix: Database) fix #151 (thx @miaochiahao)'],"{'js', 'md'}",2
47,cvedetails,,CVE-2019-13173,CWE-20,https://www.cvedetails.com/cve/CVE-2019-13173/,,6.4,,7/2/19,,"['https://www.npmjs.com/advisories/886', 'http://lists.opensuse.org/opensuse-security-announce/2019-08/msg00052.html', 'http://lists.opensuse.org/opensuse-security-announce/2019-08/msg00010.html']",['https://github.com/npm/fstream/commit/6a77d2fa6e1462693cf8e46f930da96ec1b0bb22'],1,npm/fstream,['6a77d2fa6e1462693cf8e46f930da96ec1b0bb22'],"['05/15/2019, 00:37:57']",{'js'},1,[['1e4527ffe8688d4f5325283d7cf2cf2d61f14c6b']],"[""Clobber a Link if it's in the way of a File\n\nFixes https://github.com/npm/node-tar/issues/212""]",{'js'},1
48,cvedetails,XSS,CVE-2019-13127,CWE-79,https://www.cvedetails.com/cve/CVE-2019-13127/,,4.3,,7/1/19,,"['https://www.syss.de/fileadmin/dokumente/Publikationen/Advisories/SYSS-2019-032.txt', 'https://marketplace.atlassian.com/apps/1210933/draw-io-diagrams-for-confluence/version-history']",['https://github.com/jgraph/mxgraph/commit/76e8e2809b622659a9c5ffdc4f19922b7a68cfa3'],1,jgraph/mxgraph,['76e8e2809b622659a9c5ffdc4f19922b7a68cfa3'],"['06/12/2019, 09:51:21']",{'js'},1,[['33911ed7e055c17b74d0367f5f1f6c9ee4b4fd44']],['Added validation of input color codes'],{'js'},1
49,cvedetails,CSRF,CVE-2019-12922,CWE-352,https://www.cvedetails.com/cve/CVE-2019-12922/,,5.8,,9/13/19,,"['https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/PBLBE6CSC2ZLINIRBUU5XBLXYVBTF3KA/', 'http://lists.opensuse.org/opensuse-security-announce/2019-09/msg00078.html', 'http://packetstormsecurity.com/files/154483/phpMyAdmin-4.9.0.1-Cross-Site-Request-Forgery.html', 'https://www.exploit-db.com/exploits/47385', 'http://seclists.org/fulldisclosure/2019/Sep/23', 'https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/QJ5BW2VEMD2P23ZYRWHDBEQHOKGKGWD6/', 'https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/YCB3PTGHZ7AJCM6BKCQRRP6HG3OKYCMN/']","['https://github.com/phpmyadmin/phpmyadmin/commit/7d21d4223bdbe0306593309132b4263d7087d13b', 'https://github.com/phpmyadmin/phpmyadmin/commit/427fbed55d3154d96ecfc1c7784d49eaa3c04161']",2,phpmyadmin/phpmyadmin,"['7d21d4223bdbe0306593309132b4263d7087d13b', '427fbed55d3154d96ecfc1c7784d49eaa3c04161']","['09/20/2019, 22:02:38', '09/19/2019, 01:40:32']","{'php', 'js', 'ChangeLog'}",3,"[['9c14df7ec7e03bdd1f206c8c2e6b91dc386cfb89'], ['bc0d37ccad09394541976d4cd2d5a58bfac76807']]","['Add ChangeLog entries for:\n\n* 427fbed55d3154d96ecfc1c7784d49eaa3c04161\n* 6e1bbc54c266c210e47e40946f4a6f314c8a36a7\n\nSigned-off-by: Isaac Bennetch <bennetch@gmail.com>', 'Require POST method to delete servers in Setup\n\nSigned-off-by: Maurício Meneghini Fauth <mauricio@fauth.dev>']","{'js', 'php'}",2
50,cvedetails,XSS,CVE-2019-12823,CWE-79,https://www.cvedetails.com/cve/CVE-2019-12823/,,4.3,,6/18/19,,[],['https://github.com/craftcms/cms/commit/6432eca59b93bcea2ca2616199e5d419447e613f'],1,craftcms/cms,['6432eca59b93bcea2ca2616199e5d419447e613f'],"['06/17/2019, 18:04:23']","{'map', 'js', 'md'}",3,[['4a8b4fa10f4181aa0b4227c49b0e6c9b05a1ca58']],['Fixed an XSS vulnerability'],"{'js', 'map', 'md'}",3
51,cvedetails,Exec Code,CVE-2019-12548,CWE-94,https://www.cvedetails.com/cve/CVE-2019-12548/,,6.5,,6/3/19,,[],['https://github.com/bludit/bludit/commit/d0843a4070c7d7fa596a7eb2130be15383013487'],1,bludit/bludit,['d0843a4070c7d7fa596a7eb2130be15383013487'],"['03/10/2019, 17:27:24']","{'php', 'css', 'js'}",3,[['3ab8c4c0a630b86eedd79020c34d1758f0d2726d']],['check extension and path traversal'],"{'js', 'css', 'php'}",3
52,cvedetails,XSS,CVE-2019-12313,CWE-79,https://www.cvedetails.com/cve/CVE-2019-12313/,,4.3,,5/24/19,,['https://www.npmjs.com/advisories/822'],['https://github.com/dollarshaveclub/shave/commit/da7371b0531ba14eae48ef1bb1456a3de4cfa954#diff-074799b511e4b61923dfd3f2a3bf9b54R67'],1,dollarshaveclub/shave,['da7371b0531ba14eae48ef1bb1456a3de4cfa954#diff-074799b511e4b61923dfd3f2a3bf9b54R67'],"['04/17/2019, 05:49:10']","{'json', 'js'}",2,[['1876911e423c00fdda643ef724d956b3d324d5c2']],['[version] patch; @digitalcraft createTextNode() 🚀 (#146)'],"{'json', 'js'}",2
